image,xmin,ymin,xmax,ymax,label
pic_1046.jpg,1,1,625,257,drone
yoto10557.png,101,299,663,438,drone
moto16212.png,994,161,1158,253,drone
pic_536.jpg,18,56,351,297,drone
pic_647.jpg,21,74,578,291,drone
pic_648.jpg,125,203,1116,578,drone
yoto10702.png,143,338,635,495,drone
foto04786.png,591,119,775,257,drone
pic_021.jpg,37,35,609,257,drone
pic_657.jpg,11,93,640,567,drone
pic_337.jpg,31,57,305,256,drone
pic_670.jpg,19,7,956,805,drone
foto01335.png,643,185,1132,593,drone
foto05018.png,327,24,868,319,drone
pic_420.jpg,348,60,700,140,drone
pic_684.jpg,12,207,599,335,drone
pic_254.jpg,25,150,447,296,drone
pic_087.jpg,73,24,986,534,drone
moto16067.png,602,10,735,64,drone
pic_928.jpg,144,68,670,527,drone
pic_673.jpg,7,6,650,235,drone
yoto10499.png,171,289,647,432,drone
pic_054.jpg,32,34,552,257,drone
pic_552.jpg,269,75,567,246,drone
pic_724.jpg,3,121,249,248,drone
foto14559.png,628,315,651,332,drone
pic_1161.jpg,46,10,309,139,drone
pic_659.jpg,7,79,344,251,drone
pic_1167.JPG,15,43,865,574,drone
pic_167.jpg,162,131,775,414,drone
moto14240.png,572,175,834,357,drone
pic_279.jpg,383,114,1199,420,drone
pic_035.jpg,6,34,1712,1289,drone
moto16096.png,762,225,844,270,drone
pic_296.jpg,214,500,2288,1096,drone
pic_935.jpg,30,29,448,211,drone
pic_104.jpg,9,236,1188,773,drone
pic_286.jpg,52,20,477,181,drone
pic_526.jpg,14,75,500,429,drone
pic_300.jpg,246,143,1011,595,drone
pic_1010.jpg,212,140,477,372,drone
pic_1121.jpg,102,153,218,204,drone
pic_946.jpg,150,108,269,184,drone
pic_357.jpg,256,247,805,706,drone
yoto10441.png,120,315,647,438,drone
yoto00378.png,212,277,718,564,drone
pic_070.jpg,88,352,1990,1098,drone
foto01915.png,427,196,870,557,drone
foto04960.png,369,205,952,497,drone
pic_005.jpg,52,323,1118,846,drone
pic_921.jpg,242,91,353,151,drone
yoto00407.png,192,272,677,647,drone
foto14733.png,507,306,605,405,drone
pic_858.jpg,94,179,602,415,drone
pic_529.jpg,27,30,201,94,drone
pic_551.jpg,28,18,486,233,drone
moto13109.png,411,426,823,720,drone
yoto00929.png,176,311,702,453,drone
pic_135.jpg,6,140,503,276,drone
moto02495.png,618,157,918,353,drone
pic_350.jpg,1,7,851,402,drone
foto04699.png,585,450,816,590,drone
pic_1028.jpg,810,36,1589,665,drone
pic_752.jpg,10,70,280,247,drone
moto15458.png,476,325,641,412,drone
pic_1091.jpg,26,161,460,331,drone
pic_250.jpg,284,68,736,213,drone
moto04641.png,693,19,1021,392,drone
pic_566.jpg,233,117,487,215,drone
pic_917.jpg,89,27,928,273,drone
pic_867.jpg,13,89,724,483,drone
yoto01422.png,75,56,785,615,drone
pic_698.jpg,6,30,279,182,drone
moto15516.png,708,195,820,239,drone
pic_456.jpg,156,126,368,231,drone
pic_1080.jpg,130,77,318,168,drone
pic_011.jpg,14,91,794,451,drone
pic_665.jpg,1,69,350,231,drone
pic_095.jpg,6,137,600,406,drone
pic_056.jpg,143,82,693,414,drone
foto02785.png,277,78,1015,668,drone
pic_234.jpg,17,120,598,393,drone
yoto05163.png,665,195,922,269,drone
pic_044.jpg,39,261,459,481,drone
pic_151.jpg,11,15,489,186,drone
yoto02611.png,279,110,963,420,drone
pic_059.jpg,13,57,290,198,drone
pic_297.jpg,13,269,1000,713,drone
pic_792.jpg,270,110,1572,606,drone
pic_008.jpg,33,120,335,263,drone
foto01596.png,471,25,1034,510,drone
pic_101.jpg,8,121,413,333,drone
pic_810.jpg,38,96,1173,922,drone
moto16009.png,827,334,956,453,drone
pic_077.jpg,6,95,360,260,drone
pic_785.jpg,56,102,349,225,drone
pic_961.jpg,17,137,254,266,drone
pic_118.jpg,57,77,634,301,drone
yoto00900.png,165,308,694,433,drone
pic_1008.jpg,1,3,600,334,drone
foto05453.png,423,299,758,500,drone
pic_204.jpg,68,76,721,295,drone
pic_238.jpg,170,33,664,272,drone
pic_1076.jpg,55,22,578,165,drone
pic_182.jpg,71,225,967,558,drone
foto01625.png,551,50,1057,484,drone
foto05482.png,454,143,782,331,drone
yoto00030.png,144,158,879,298,drone
foto04815.png,568,218,771,347,drone
pic_811.jpg,21,50,369,231,drone
pic_1036.jpg,370,275,593,318,drone
pic_475.jpg,94,70,277,131,drone
pic_546.jpg,89,260,1356,623,drone
pic_263.jpg,29,83,232,179,drone
pic_258.jpg,342,659,4620,1952,drone
pic_108.jpg,63,80,330,176,drone
pic_156.jpg,40,156,1936,1904,drone
pic_1148.jpg,120,39,866,408,drone
foto07338.png,706,392,740,413,drone
pic_574.jpg,10,136,494,373,drone
pic_122.jpg,36,119,823,866,drone
pic_370.jpg,123,194,925,424,drone
pic_834.jpg,5,167,640,408,drone
pic_740.jpg,15,21,933,546,drone
pic_682.jpg,60,47,686,282,drone
pic_376.jpg,1,13,243,234,drone
pic_1159.jpg,3,175,296,386,drone
yoto01248.png,137,312,655,442,drone
pic_126.jpg,122,174,299,257,drone
yoto05076.png,709,192,879,262,drone
pic_002.jpg,18,103,417,338,drone
foto01306.png,747,369,1233,720,drone
foto05076.png,358,47,989,336,drone
moto11891.png,565,253,842,441,drone
pic_155.jpg,262,56,2453,1071,drone
pic_697.jpg,5,49,700,357,drone
pic_106.jpg,13,172,1012,595,drone
pic_688.jpg,32,50,784,416,drone
pic_461.jpg,66,62,1024,545,drone
pic_229.jpg,28,41,726,375,drone
pic_120.jpg,21,10,363,159,drone
foto05424.png,296,301,971,628,drone
pic_1152.jpg,419,21,958,251,drone
pic_1146.jpg,23,6,285,159,drone
